seed,problem,algorithm,n_eval,n_gen,gd,gd+,igd+,igd,-hv
0,ctp1,unsga3,65,5,0.2319614075216433,0.2319614075216433,0.151331308987658,0.17758665265642265,-0.14110678051796913
0,ctp1,unsga3,78,6,0.1445098861231913,0.1445098861231913,0.1486975884223497,0.1738803189096545,-0.14110678051796913
0,ctp1,unsga3,91,7,0.10965260933947052,0.10965260933947052,0.1229387193876216,0.15408046633265454,-0.17128427746745523
0,ctp1,unsga3,104,8,0.10039422238501589,0.10032528702251939,0.10353940841355425,0.13591194390560069,-0.18340972642202147
0,ctp1,unsga3,117,9,0.07855872179137344,0.07847993851994885,0.07299017494834058,0.11124269550387213,-0.2152075172896732
0,ctp1,unsga3,130,10,0.06860438989338308,0.06860438989338308,0.06793377438184772,0.10196223746940651,-0.22291038583653333
0,ctp1,unsga3,143,11,0.0684771289979102,0.0684771289979102,0.067542834180278,0.10106027396618375,-0.22341520732792763
0,ctp1,unsga3,156,12,0.06446619039558268,0.06446619039558268,0.05927192808459954,0.09307356582843346,-0.23218524990839373
0,ctp1,unsga3,169,13,0.05435190624462077,0.05435190624462077,0.0393428601047283,0.0723904875912972,-0.2550836405829538
0,ctp1,unsga3,182,14,0.053702433440533895,0.053702433440533895,0.03900225118247499,0.0720991155078679,-0.2554460770982841
0,ctp1,unsga3,195,15,0.04395756202831144,0.04395756202831144,0.03263895211463979,0.06373883735643592,-0.2646061265674427
0,ctp1,unsga3,208,16,0.03957842494342644,0.03957842494342644,0.030761693039212903,0.062020837304489845,-0.2654318237352607
0,ctp1,unsga3,221,17,0.025489672931827335,0.025489672931827335,0.029703603321439943,0.0606244074831944,-0.26915339473203875
0,ctp1,unsga3,234,18,0.024494843851876093,0.024494843851876093,0.028865334579272022,0.05989485464925296,-0.2700045175944153
0,ctp1,unsga3,247,19,0.02103329773975865,0.02103329773975865,0.027863668665155175,0.05883865555930043,-0.27140330281911484
0,ctp1,unsga3,260,20,0.022413756415750035,0.02235117719566266,0.026129301000150006,0.0558833374410876,-0.2741649478479281
0,ctp1,unsga3,273,21,0.02049247206939394,0.020424677914299284,0.0257305345216863,0.05511692722487794,-0.2746224174037821
0,ctp1,unsga3,286,22,0.020125076631844215,0.02005728247674956,0.025505190593981375,0.05496641330749314,-0.27496119986422884
0,ctp1,unsga3,299,23,0.01774300176870978,0.017697583153423766,0.02454675692687479,0.054243386877819544,-0.2755212385838573
0,ctp1,unsga3,312,24,0.017865746560036606,0.01782032794475059,0.02414042875876118,0.053647906751395705,-0.27538522866965626
0,ctp1,unsga3,325,25,0.01836143877087934,0.018309076255956968,0.024822023938660544,0.05408871579964745,-0.27532653038090826
0,ctp1,unsga3,338,26,0.016486148875030804,0.016437814245871686,0.02364649836857022,0.05282655128258783,-0.2775424837574863
0,ctp1,unsga3,351,27,0.016022192662850803,0.015963526895986704,0.023987669252098838,0.053480926752874636,-0.27708326835557107
0,ctp1,unsga3,364,28,0.013746640127736947,0.013682626346956423,0.022930200763884686,0.053055253632891215,-0.2780826421998776
