seed,problem,algorithm,n_eval,n_gen,best
0,ackley,pattern-search,54,9,0.1518422738005616
0,ackley,pattern-search,58,10,0.1518422738005616
0,ackley,pattern-search,62,11,0.1518422738005616
0,ackley,pattern-search,66,12,0.1518422738005616
0,ackley,pattern-search,70,13,0.1518422738005616
0,ackley,pattern-search,74,14,0.018511597236920085
0,ackley,pattern-search,79,15,0.018511597236920085
0,ackley,pattern-search,83,16,0.018511597236920085
0,ackley,pattern-search,87,17,0.01213639016793211
0,ackley,pattern-search,92,18,0.01213639016793211
0,ackley,pattern-search,96,19,0.004522746940896827
0,ackley,pattern-search,101,20,0.004522746940896827
0,ackley,pattern-search,105,21,0.0031098903608328676
0,ackley,pattern-search,110,22,0.0031098903608328676
0,ackley,pattern-search,113,23,0.0010106337486992523
0,ackley,pattern-search,118,24,0.0010106337486992523
0,ackley,pattern-search,122,25,0.0006480902662073795
0,ackley,pattern-search,127,26,0.0006480902662073795
0,ackley,pattern-search,131,27,0.0003609628210985427
0,ackley,pattern-search,136,28,0.0003609628210985427
0,ackley,pattern-search,140,29,0.0001553228908233173
0,ackley,pattern-search,145,30,0.0001553228908233173
0,ackley,pattern-search,149,31,6.997148003806686e-05
0,ackley,pattern-search,154,32,6.997148003806686e-05
0,ackley,pattern-search,158,33,4.365192528554829e-05
0,ackley,pattern-search,163,34,4.365192528554829e-05
0,ackley,pattern-search,166,35,1.9710999087596548e-05
0,ackley,pattern-search,171,36,1.9710999087596548e-05
0,ackley,pattern-search,175,37,1.1382691021299962e-05
0,ackley,pattern-search,180,38,1.1382691021299962e-05
0,ackley,pattern-search,184,39,5.270647321697908e-06
0,ackley,pattern-search,189,40,5.270647321697908e-06
0,ackley,pattern-search,192,41,9.773376814514734e-07
0,ackley,pattern-search,197,42,9.773376814514734e-07
0,ackley,pattern-search,201,43,9.773376814514734e-07
0,ackley,pattern-search,204,44,5.708587385022668e-07
0,ackley,pattern-search,209,45,5.708587385022668e-07
0,ackley,pattern-search,213,46,4.045909993699581e-07
0,ackley,pattern-search,218,47,4.045909993699581e-07
0,ackley,pattern-search,222,48,1.1794146503874003e-07
0,ackley,pattern-search,227,49,1.1794146503874003e-07
0,ackley,pattern-search,231,50,5.626939669767239e-08
0,ackley,pattern-search,236,51,5.626939669767239e-08
0,ackley,pattern-search,240,52,3.297924111578254e-08
0,ackley,pattern-search,245,53,3.297924111578254e-08
0,ackley,pattern-search,249,54,1.62570512607374e-08
0,ackley,pattern-search,254,55,1.62570512607374e-08
0,ackley,pattern-search,257,56,1.43015879139341e-08
0,ackley,pattern-search,262,57,1.43015879139341e-08
0,ackley,pattern-search,266,58,1.2581300445901888e-09
0,ackley,pattern-search,271,59,1.2581300445901888e-09
0,ackley,pattern-search,275,60,1.2581300445901888e-09
0,ackley,pattern-search,279,61,1.2581300445901888e-09
